ID	Gene symbol
1	
2	
3	
4	SVOP
5	ZNF473
6	PDIA3
7	SP5
8	SCAND1
9	KRT19
10	DKFZp434K1815
11	EXOC7
12	
13	
14	SLC9A3R1
15	ZNF446
16	RUNX2
17	KIAA1604
18	
19	FAM64A
20	HAVCR1
21	RABL4
22	
23	
24	COX7B
25	SEC63
26	LTBP2
27	C9orf93
28	MAGOH
29	ZNF561
30	IGSF4
31	TOP2A
32	CHIT1
33	IL2
34	JARID1B
35	GNRH2
36	ZDHHC19
37	
38	ERCC2
39	
40	SLC30A5
41	MLX|PSMC3IP
42	
43	PARVG
44	PRKCG
45	ZNF708
46	
47	
48	
49	
50	ARHGAP27
51	RASL12
52	
53	PATE
54	MEIS1
55	DISC1
56	SPIB
57	PRDM7
58	
59	
60	
61	YES1
62	NEDD4L
63	
64	SLC7A5
65	LTBP1
66	TNFAIP2
67	RNMT
68	
69	PFTK1
70	IFIT3
71	LOC652734|FAM108A2|LOC648359|FAM108A1|LOC643035|LOC653438
72	SLC16A14
73	STK35
74	GSTM4
75	TSGA10
76	PSKH1
77	H3F3B
78	SLC22A3
79	PTPN1
80	TMEM156
81	CD86
82	
83	MAMDC2
84	
85	KIAA0179
86	QDPR
87	CCDC111
88	STARD6
89	NOVA1
90	MGC48595
91	FOXD2
92	
93	NPAS2
94	ATR|LOC648152
95	FLJ31951
96	RG9MTD3
97	HMGN2
98	DNAJB11
99	
100	BCL2A1
101	PSMB1
102	
103	
104	
105	
106	KLK6
107	
108	PLXND1
109	RPS25|LOC401206
110	TAC1
111	PISD
112	C5orf13
113	
114	
115	GRAMD1C
116	MBD3
117	KCNJ13
118	OLFM3
119	USHBP1
120	C10orf7
121	CDKN1A
122	PLA2G5
123	TACSTD1
124	RHOBTB2
125	TAF9
126	C11orf77
127	XCL2
128	EVL
129	
130	
131	PLCXD1
132	ZNF485
133	GPR75
134	SLC5A6
135	
136	LOC440173
137	
138	LGMN
139	EHHADH
140	GADD45A
141	
142	CD46
143	FARP2
144	
145	RPS10
146	
147	MPP1
148	
149	IGF2R
150	
151	CBLN4
152	KCNK17
153	PTP4A2
154	CXCL3
155	TRAF2
156	LOC441368
157	CAMK2N1
158	ZBTB38
159	DNER
160	KIAA1411
161	THRAP2
162	SH3PXD2A
163	SCN10A
164	PLCE1
165	LOC541471
166	CEPT1
167	SNRPF
168	C21orf33
169	
170	SPTBN5
171	TUBG2
172	SORBS1
173	TMEM57
174	EPS8L1
175	RFPL3S
176	MTF1
177	
178	
179	
180	
181	PACSIN3
182	PRO0132
183	CCDC93
184	C6orf136
185	FAM13A1
186	C9orf88
187	C21orf69
188	ZMYM6
189	NGFR
190	
191	RAC2
192	LHPP
193	TMEM45B
194	UHMK1
195	
196	RP11-484I6.3
197	TREX1
198	PAK3
199	TXNIP
200	HPS3
201	
202	FURIN
203	ARF3
204	CCR1
205	
206	
207	
208	
209	
210	IRX6
211	PBX4
212	GRPEL1
213	POU2F2
214	
215	
216	
217	
218	
219	C8A
220	NTNG1
221	POPDC2
222	GPIAP1
223	SRRM1
224	GPR56
225	CDC2
226	AOC3
227	
228	NOLA2
229	PLEKHO1
230	SALL3
231	KIAA1856
232	
233	ARPM1
234	
235	ZNF217
236	JMJD4
237	BBOX1
238	RAF1|MKRN2
239	BOLL
240	HBS1L
241	PLP1
242	FAM111A
243	
244	CXYorf2|ASMTL
245	NUP62
246	RALA
247	KIAA1549
248	C5AR1
249	PAQR8
250	MGC14376
251	IRF2
252	NPAS4
253	REEP6
254	SCYL1BP1
255	LIFR
256	ST8SIA4
