ID	Gene symbol
472	TUBA3C
473	SIGLEC9
474	NPHP4
475	CDK10
476	DLGAP4
477	C9orf86
478	BST2
479	CXorf1
480	RAPGEF1
481	CCNYL1
482	ASH2L
483	URB1
484	
485	WDR43
486	CIR1
487	HERC2
488	LRRC28
489	
490	CBFA2T2
491	MET
492	
493	NKAIN2
494	ZNF638
495	PCDHB16
496	KIAA1967
497	CNTNAP5
498	
499	CUL7
500	
501	ANP32A
502	
503	KLRD1
504	DST
505	
506	PRO1768
507	ATP8B1
508	UBXN8
509	MYST3
510	PUF60
511	CD52
512	
513	SCAND1
514	EBF4
515	ADAMTS2
516	
517	
518	
519	
520	
521	
522	
523	
524	
525	
526	
527	
528	
529	
530	
531	
532	
533	
534	
535	
536	
537	
538	
539	
540	
541	
542	
543	
544	
545	
546	
547	
548	
549	FBXO7
550	CTNNBL1
551	
552	hCG_2011852
553	
554	CDC2L6
555	LOC100129118|TMEM167A
556	HOXB2
557	
558	VPS13B
559	KREMEN1
560	ARNT2
561	ARPC1B
562	
563	KCND2
564	TPM3
565	CKM
566	NFIA
567	CLINT1
568	
569	SLC25A45
570	
571	SSU72
572	OR5M8
573	ELOVL5
574	DTNBP1
575	HMGN2
576	CASP8AP2
577	RBMY1E|RBMY1A1|RBMY1F|RBMY1B|RBMY1J|RBMY1D
578	
579	CPA6
580	OBP2B
581	FADD
582	EPHA10
583	RBM27
584	
585	
586	KIF9
587	PHEX
588	
589	HDAC7
590	MAX
591	NLRP11
592	GRM7
593	ATPBD4
594	OR1A1
595	C10orf10
596	IRAK1
597	PSMA5
598	TNIP3
599	
600	TNFRSF8
601	MREG
602	TLX1
603	AP3M1
604	TOM1L2
605	SLC1A7
606	ANGEL2
607	
608	AQP3
609	
610	YPEL1
611	NOLC1
612	RARB
613	BOD1
614	ATG3
615	ZNF264|TNFRSF10B
616	
617	PTPRCAP
618	DPH5
619	
620	TSPAN14
621	ATP6V0E1
622	BLNK
623	AP2A2
624	GREM2
625	FCN3
626	
627	CCAR1
628	RHOXF2|RHOXF2B
629	LRRC37A2
630	LAMB1
631	CHRDL1
632	FAM76B
633	MDH2
634	TLE3
635	
636	SERTAD2
637	KLK6
638	
639	
640	UBA2
641	
642	
643	HIST1H2AL
644	
645	EIF3D
646	
647	E2F2
648	CSDA
649	OTUD4
650	RPS27A
651	TADA2A
652	BZW1|BZW1L1
653	
654	SOD2
655	F12
656	CSTF2T
657	SIGLEC1
658	PSTPIP1
659	MRE11A
660	CD46
661	FGF13
662	
663	SERINC1
664	ORMDL2
665	
666	MRPL43
667	EGFR
668	TRAPPC2L
669	HMGA2
670	POU4F2
671	RPH3AL
672	
673	C8orf59|E2F5
674	PCDHB1
675	MPZL1
676	PHF14
677	
678	DIDO1
679	TDRD10
680	LOC645529|ACR
681	DNAH14
682	SNX1
683	KIAA1147
684	C1orf43
685	DYM
686	RBMY2FP
687	CYP2A6
688	ODZ4
689	ARID5B
690	KBTBD2
691	FBXO25
692	
693	SAT1
694	SLC15A4
695	STAT5A
696	KPNB1
697	MYO1G
698	IL20
699	C1orf128
700	GUSBL2
701	HIST1H3F
702	TLR6
703	CEP68
704	COL6A1
705	AIMP1
706	
707	FOLR1
708	UGT2B17
709	
710	FAM81A
711	LARP1
712	GOSR2
713	FABP3
714	LRRC19
715	KYNU
716	PIK3IP1
717	MDM1
718	YWHAB
719	DERL3
720	ORC5L
721	
722	ITGB1
723	GNAS
724	RAD9A
725	NT5E
726	
727	RRAS2
728	XCL1
729	
730	PAF1
731	ZC3H3
732	PALM3
733	ZDHHC23
734	MTDH
735	C14orf105
736	ESD
737	SKA2|SKA2L
738	OR4X2
739	RTN4RL1
740	PRB2|PRB1
741	
742	TUSC3
743	
744	CHST2
745	
746	OR52B2
747	AKR7A3
748	HIF3A
749	ZNF295
750	LRRC8B
751	MAPKAP1
752	DEDD2
753	RNF148
754	RANBP9
755	KLF6
756	SOX6
757	SLAIN2
758	TTYH3
759	NYX
760	SMCR7L
761	CASP1
762	
763	CYP4Z1
764	TMEM67
765	MRPS7
766	
767	COL12A1
768	COL2A1
769	
770	IGL@
771	ZYG11B
772	SPPL2A
773	WDR31
774	DDHD2
775	IGFBP3
776	
777	LCE4A
778	ZNF92
779	CSH2
780	AMN
781	WDR3
782	C16orf92
783	
784	
785	
786	
787	
788	
789	
790	
791	
792	
793	
794	
795	
796	
797	
798	
799	
800	
801	
802	
803	
804	
805	
806	
807	
808	
809	
810	
811	
812	MAP4K4
813	DPP8
814	KRT14
815	SFRS18
816	RPS16
817	
818	C1orf151
819	CFLAR
820	FASLG
821	LRRC46
822	CYP27A1
823	CYBB
824	ZNF187
825	USP51
826	LYPD1
827	IBTK
828	STAM2
829	PCDHB9
830	GPR172B
831	CRABP2
832	BRMS1L
833	EXTL1
834	FAM104B
835	RPL22
836	ADAM9
837	
838	TCN1
839	CDV3
840	CYP24A1
841	PTPN4
842	
843	AGGF1
844	KCNV2
845	RAB3D
846	PIP4K2C
847	
848	PROM1
849	
850	
851	DARS
852	TPD52
853	FAM86C|FAM86D
854	
855	TENC1
856	CDC20
857	
858	
859	FKBP9L|FKBP9
860	SPATS1
861	BCL2L1
862	CRTC1
863	GPR115
864	CCR10
865	ZAN
866	ZNF781
867	SPINT1
868	
869	IFI16
870	
871	WIPF1
872	NEK11
873	RNF128
874	BCL2
875	HOMER1
876	
877	CABP5
878	C10orf137
879	COQ2
880	
881	RAB6B
882	MNDA
883	C22orf37
884	RRAGC
885	NUDT5
886	KRTDAP
887	MRPS30
888	TUBA3C
889	C6orf146
890	PCP4
891	SEC14L1
892	RAD9B
893	CST1
894	RFWD2
895	GPD1L
896	BAT5
897	TUBA1C
898	CLU
899	PCYT2
900	FAM134C
901	KCNK10
902	PRPF18
903	FYB
904	
905	LOC100131998|LOC730092
906	LOC100287474|DNASE1L2
907	CRELD2
908	ZNHIT2
909	
910	EIF4B
911	GABARAPL1
912	MYLIP
913	KIF21A
914	SESN3
915	
916	
917	GPBAR1
918	TRA@
919	GTPBP1
920	UGT8
921	RANGRF
922	ADD1
923	XRCC5
924	
925	TBX21
926	GATA3
927	NALCN
928	SAMD9
929	CGB1
930	C7orf42
931	
932	ETNK2
933	TTC22
934	RBM38
935	FAM193B
936	
937	LILRA5
938	GNA12
939	PIP5K1A
940	C4BPA
941	GRIN2C
942	
943	CPSF7
944	BRD7
945	CCNJ
946	FECH
947	LILRA1
948	
949	LHFPL3
950	GALNT9
951	ZAP70
952	
953	MUC20
954	SH3BP4
955	RPL22
956	HTRA2|LOXL3
957	TJP3
958	
959	PYROXD2
960	BRIX1
961	SH3KBP1
962	DMWD
963	CHCHD7
964	SMCHD1
965	S100P
966	
967	
968	HISPPD2A
969	TSPAN7
970	
971	
972	MYOC
973	SCML1
974	HRCT1
975	SERPINB10
976	MICB
977	C11orf35
978	CDC42SE2
979	
980	
981	TMEM203
982	GATA4
983	ANGPT2
984	SAMHD1
985	SCML4
986	RBL1
987	IER5
988	RNASE6
989	PSME1
990	LDLR
991	
992	NFIB
993	DEPDC7
994	RAB2B
995	PROZ
996	ITGB8
997	
998	NUP50
999	ACOX2
1000	
1001	STARD5
1002	VCP
1003	STAG3L2
1004	CMTM7
1005	
1006	USP39
1007	DKFZp761E198
1008	TTL
1009	EHMT2
1010	
1011	
1012	
1013	
1014	OSTbeta
1015	PTPRE
1016	FAM153C|FAM153B|FAM153A
1017	SFRS15
1018	
1019	LRBA
1020	SLC43A2
1021	KIAA0562
1022	CENPM
1023	SERPINA5
1024	MAS1L
1025	SLC6A3
1026	
1027	WNK4
1028	TAF9B
1029	RTN4
1030	PPARG
1031	TTC30A
1032	LOC84931
1033	NT5C2
1034	CKS2
1035	CYB5R1
1036	CYP4F2
1037	STAG3L1
1038	CPA1
1039	KCNC3
1040	KCTD5
1041	BAG2
1042	EVPL
1043	TBC1D9
1044	SENP5
1045	CCDC19
1046	RPRD1B
1047	
1048	
1049	TSPAN14
1050	DNTTIP2
1051	
1052	
1053	
1054	
1055	
1056	
1057	
1058	
1059	
1060	
1061	
1062	
1063	
1064	
1065	
1066	
1067	
1068	
1069	
1070	
1071	
1072	
1073	
1074	
1075	
1076	
1077	KLF13
1078	MT1E
1079	
1080	ATP6V0C
1081	C5orf37
1082	TMEM134
1083	DIRAS2
1084	UBR1
1085	CNTN5
1086	
1087	TRIB3
1088	CGN
1089	CATSPER2
1090	TEX264
1091	
1092	TTF2
1093	NT5DC1
1094	SH3YL1
1095	
1096	DNAJC15
1097	CNTN2
1098	SIRT7
1099	N4BP3
1100	DOPEY2
1101	CETN3
1102	CINP
1103	FCN2
1104	PCDH17
1105	PLEKHA8
1106	THOC6
1107	MEOX2
1108	MRFAP1L1
1109	
1110	VAMP8
1111	SUV39H2
1112	
1113	IL5
1114	C6orf1
1115	STRN
1116	ANXA1
1117	EFCAB2
1118	NLGN4Y
1119	RPSA|RPSAP58
1120	TUBA1B
1121	CHRND
1122	MSLN
1123	ADCYAP1R1
1124	SAV1
1125	CCDC42
1126	
1127	HHIPL2
1128	
1129	MYO10
1130	WIPF1
1131	
1132	ASB7
1133	RTN4RL1
1134	GDPD5
1135	RBM38
1136	RERG
1137	CES2
1138	LPA
1139	
1140	CCDC88A
1141	RPS10P7
1142	TAF1
1143	CYB561
1144	RAG1AP1
1145	MOBKL2B
1146	KHSRP
1147	PPIL2
1148	FLYWCH2
1149	
1150	
1151	LOC100289565|HAPLN2
1152	DECR1
1153	
1154	MYL5|MFSD7
1155	
1156	LPP
1157	MIR17HG
1158	PPM1E
1159	SLC6A2
1160	DKK2
1161	CCL21
1162	FZD5
1163	
1164	NLN
1165	SHOX2
1166	PTPRH
1167	
1168	GUSBP3
1169	CDY1B|CDY1
1170	
1171	GCET2
1172	DUSP8
1173	MAP9
1174	LOC100287670|ABHD14B
1175	TPCN1
1176	
1177	C1orf159
1178	SCN2A
1179	
1180	
1181	ATG4A
1182	RBM47
1183	
1184	LARP4
1185	THOC7
1186	TNK2
1187	MPP7
1188	BNIP3L
1189	NDST3
1190	ATP6V0C
1191	SEMA3D
1192	LOC643783
1193	MATR3
1194	POGK
1195	
1196	C11orf41
1197	C1orf85
1198	DIAPH2
1199	CEACAM3
1200	GRB2
1201	OR52K2
1202	FOXA2
1203	SYAP1
1204	PNO1
1205	MYL12A
1206	PRDX4
1207	FAM108A1
1208	CRTC3
1209	BAD
1210	CENPC1
1211	TRDMT1
1212	LOC162632
1213	
1214	EHD1
1215	
1216	THOC4
1217	GNPTAB
1218	ZKSCAN5
1219	DNM1L
1220	EMP2
1221	
1222	
1223	
1224	
1225	KTI12
1226	ASAP1
1227	AGTR1
1228	
1229	
1230	RHOBTB3
1231	SCUBE2
1232	DEFB119
1233	DHRS13
1234	HELZ
1235	KPNA3
1236	TMEM33
1237	
1238	RNF123
1239	DPP9
1240	DLG2
1241	VIPR1
1242	
1243	SPG7
1244	LOC729317|VDAC2
1245	KIAA0753
1246	PCNXL3
1247	ZSWIM5
1248	
1249	SELM
1250	FMO1
1251	
1252	FABP5
1253	TCEAL2
1254	CHAD
1255	SP140
1256	CAPSL
1257	LOC100288147|KRT18
1258	
1259	ATP5O
1260	
1261	PDS5A
1262	
1263	MCART2|MCART1
1264	
1265	FHIT
1266	
1267	KIR3DL3
1268	NEU2
1269	CCDC81
1270	HTATIP2
1271	TAPBP
1272	SLITRK3
1273	KIAA0317
1274	MAN1B1
1275	HMGCR
1276	PGK1
1277	KCNH5
1278	MYPN
1279	MRO
1280	IP6K1|LOC100287546
1281	TBC1D8B
1282	
1283	
1284	
1285	HIF1A
1286	KIAA1715
1287	FXR1
1288	GSC
1289	METTL1
1290	PCDH20
1291	SYNGR2
1292	CRKRS
1293	
1294	GABRP
1295	ANKRD40
1296	ALG14
1297	C12orf53
1298	PRPS2
1299	NGDN
1300	FYB
1301	EXOSC7
1302	ANKRD19|EEF1D
1303	C5orf20
1304	ZNF676
1305	FA2H
1306	LOC389906
1307	ITPKC
1308	PSMD5
1309	ENAM
1310	HCN2
1311	THTPA
1312	LRRCC1
1313	ST13
1314	NKX6-2
1315	PGAP3
1316	
1317	HDAC4
1318	PDXK
1319	
1320	
1321	
1322	
1323	
1324	
1325	
1326	
1327	
1328	
1329	
1330	
1331	
1332	
1333	
1334	
1335	
1336	
1337	
1338	
1339	
1340	
1341	
1342	RPL6
1343	GAB2
1344	ADCK2
1345	TTR
1346	MUC15
1347	DDX58
1348	ASNS
1349	MRPL40
1350	CX3CL1
1351	IGSF3
1352	AP1B1
1353	FGFR2
1354	ACLY
1355	MIOS
1356	LRRC43
1357	C5orf23
1358	MN1
1359	KLHDC1
1360	
1361	
1362	
1363	SLC2A11
1364	C3orf39
1365	
1366	
1367	
1368	PSD3
1369	MAF1
1370	ZXDB|ZXDA
1371	SLC30A2
1372	RABL3
1373	CCNG2
1374	TTK
1375	RBM18
1376	
1377	BAI1
1378	PPP2R2D|LOC100289387
1379	LOC100132941
1380	PKHD1
1381	HSPB2
1382	FKSG29
1383	EDN2
1384	CBS
1385	HDLBP
1386	PRKACG
1387	PDZRN4
1388	PPP3CB
1389	NACC2
1390	PARP4
1391	
1392	ESRRB
1393	
1394	
1395	EIF5
1396	TMEM186
1397	CXorf15
1398	TRIM44
1399	
1400	PPA1
1401	
1402	KLHL36
1403	CCDC74B
1404	TPI1
1405	HOXB1
1406	HIST1H2BL
1407	DOC2A
1408	CIB4
1409	CXCL2
1410	LYST
1411	KRTAP4-1
1412	MAP1B
1413	CCR1
1414	
1415	MTFR1
1416	
1417	WARS2|LOC100289647
1418	LOC400027
1419	SERF1B|SERF1A
1420	
1421	QKI
1422	DDHD2
1423	MAP2K4
1424	
1425	KIAA1683
1426	PRICKLE2
1427	FYB
1428	S100A14
1429	AZIN1
1430	KCNK4
1431	GPC1|LOC100288928
1432	AXL
1433	
1434	RASGEF1A
1435	PRAP1
1436	
1437	ARPP19
1438	FAM187B
1439	PBOV1
1440	TIMM8B
1441	
1442	NT5DC3
1443	
1444	MYO1E
1445	NCOA1
1446	IGSF3
1447	PCYT1A
1448	
1449	LOC100288256|OGDH
1450	
1451	
1452	MAP7D2
1453	KCTD12
1454	HAUS6
1455	SH2B3
1456	BMP3
1457	DENND2A
1458	RBMY1E|RBMY1A1|RBMY1B|RBMY1D
1459	
1460	GRID2
1461	FAM160B2
1462	EPHX1
1463	GJB1
1464	TMEM164
1465	
1466	
1467	CASP14
1468	
1469	PITX3
1470	
1471	PNPLA6
1472	LOC100132306|FAM91A1
1473	STK4
1474	DSCR3
1475	
1476	PRAM1
1477	PRSS23
1478	DCUN1D1
1479	SDHA
1480	DEFA4
1481	PNPLA6
1482	MYO10
1483	TNIP2
1484	C16orf13
1485	GRID2
1486	PTPN14
1487	ARHGEF5
1488	ZNF790
1489	PHF20
1490	SCAI
1491	FLJ35220
1492	GPN1
1493	
1494	C1orf198
1495	ING4
1496	GLYATL1
1497	CETN1
1498	
1499	
1500	
1501	GAS7
1502	SERTAD2
1503	
1504	MAP3K15|PDHA1
1505	AP4M1|TAF6
1506	JMJD1C
1507	
1508	LOC100133337|UBB
1509	CCNE1
1510	SEL1L3
1511	IMPDH2
1512	SENP5
1513	LDLRAD3
1514	
1515	RASD2
1516	USE1
1517	IL28RA
1518	ANKS1B
1519	ZDHHC3
1520	CLDN5
1521	OR7D4
1522	
1523	DDAH1
1524	KCNJ15
1525	SMOX
1526	WDR31
1527	LCE2A
1528	
1529	LCMT1
1530	
1531	CCDC88A
1532	ACAP2
1533	
1534	RAB40C
1535	CLK2P
1536	TOR3A
1537	HERC2P2
1538	TNNI3K
1539	PHF20
1540	ATIC
1541	LRIT1
1542	
1543	HERC4
1544	
1545	UGGT1
1546	TSHR
1547	TPRG1L
1548	OR2B2
1549	LGR4
1550	HSPB1
1551	SYNM
1552	
1553	FZD4
1554	ODZ3
1555	NUSAP1
1556	ZNF564
1557	PIGM
1558	
1559	NDST1
1560	ESR1
1561	HNRNPA1L2|HNRNPA1
1562	
1563	ECM1
1564	POLB
1565	PPP3R1
1566	PABPC5
1567	IMPDH1
1568	
1569	PDXP
1570	SPIRE1
1571	RMND1
1572	
1573	THUMPD2
1574	
