
!Sample_title	"030064-BC-Brain-Met"	"BC00014-Repeat1"	"BC00057-post-chemo"	"BC00064-RECUR"	"PB362"	"UB67-Repeat1"	"BC00085"	"020577-BC-Brain-Met(=73)"	"Normal-Breast-8"	"BC00078T"	"BC00082T"	"PB432-repeat1"	"030311-BC-Brain-Met"	"982085-BC-Brain-Met"	"BC00030-MET-post chemo"	"BC00048"	"BC00083"	"BC00094T"	"BR94-187"
"ID_REF"	"GSM34435"	"GSM34436"	"GSM34444"	"GSM34469"	"GSM34501"	"GSM34503"	"GSM34509"	"GSM34520"	"GSM34524"	"GSM34551"	"GSM34552"	"GSM52882"	"GSM80214"	"GSM80215"	"GSM80225"	"GSM80228"	"GSM80234"	"GSM80236"	"GSM80239"
4306	1.412	1.42	-.814	-.015	.586	-.747	-.057	.726	2.907	.222	.481	.045	.335	-.708	.577	.913	1.143	.196	.163
4307	.274	-.066	-.797	.11	-.045	-.341	-.067	.156	.429	-.46	-.035	.189	.056	-.063	.11	.223	.029		.01
4308		0	-.934	0	-.152	0	-1.015	.125	0	.584	.436	.953	0		0	0	0	0	0
4309	.03	.055	-.639	.236	-.233	.056	-.26	-.087	-.072	.162	.034	-.098	-.542	.081	.011	1.105	-.249	-.014	-.8
4310	.184	1.108	-.384	-.021	-.196	-.3	.133	.193	1.125	.123	.082	-.116	-.137	.192	.294	.718	.159	-1.589	-.135
4311	-.221	-.344	.048	-.181	-.325	-.443	-.555	.135	1.218	-2.159	-1.083	.094	.161	-.428	-.695	.651	-.304	-.307	
4312	.914	.016	-.394	.022	-.092	.269	.492	1.083	1.213	.149		-.075	.744	.336	.238	.622	.335	.351	.21
4313	.475	-.09	-.43	.627	-.186	-.048	.301	.266	.607	.049		-.047	.085	.044	.005	.243	.342	.222	
4314	.674	-.046	.456	.213	.047	2.146	.42	1.513	1.052	.419		.004	1.606	.098	-.075	.474	1.924		-.089
4315	.422	.384	.572	-.319	.736	.702	.216	-1.056	.585	.493		.43	.79	-.636	1.049	.993	-.74	.295	.59
4316	.536	1.382	-.289	-.873	0	0	0		0	.059	.947	.953	0		0	0	-.846	.728	-.682
4317	-.173	-.168	-.342	.046	.06	.003	.118	.333	.838		.685	.04	.139	.062	-.02	.092	.026		.121
4318	-.664	.158	-.561	-.255	-.472	-.046	.37	-.089	.277	-.509	-.763	-.263	.116	-.778	-.353	-.241	.062		.134
4319	-.222	.106	-.309	-.08	.023	-.149	.605	-.232	1.431	.203	-.625	-.107	.087	-.126	.268	.147	.462		.318
4320	.966	1.06	-.355	2.561	.214	.551	.767	1.064	1.724	.694		-.137	.951	.397	.401	1.302	1.004	.425	.428
4321		.216	0	-.259	0	0	0	-2.611	0	.059	.569	0	1.267		2.361	0	1.035	-.02	0
4322		0	0	.632	.648	0	-3.088	.583	0	0	-.334	0	0	-1.51	0	.941	0	-.14	0
4323	.343	-.018	-.257	.011	-.139	.015	.152	.871	.332	.054	-.127	-.086	.1	.194	.252	.022	-.19	.297	.176
4324	-2.094	-1.362	-1.881	-1.72	-2.35	-1.496	-1.066	-3.947	-2.84	-2.157	-1.66	-.736	-2.053	-1.167	-1.083	-.798	-1.069	-2.514	-.873
4325	-.221	.023	-1.03	-.119	-.09	-.123	.225	-.027	.443	-.621	.036	.003	.303	-.685	.023	.532	.025	.031	.16
4326	-.515	-.5	-.82	-.44	-.197	-.707	-.05	-.323	.015	-.774	-.248	.023	-.788	-.037	-.125	-.098	-.418	-.577	.286
4327	-.439	.147	-.741	-.351	-.291	-.749	-.544	-.092	.428	-1.451	-1.203	-.161	-.128	-.593	.066	-.929	-.47	-.309	-.355
4328		0	0	0	-.059	1.46	.49	1.72	0	0	.432	-.145	1.267	.469	0	-.875	0	-.591	0
4329	1.407	-.179	-.017	1	.7	1.341	.813	1.725	.656	.33	1.111	.69	.558	-1.052	.564	2.311	-.186	.13	1.265
4330	-.345	.285	-.36	-.736	-.289	-.947	-.553	-.139	-1.312	-.237	-.044	-.124	.11	-1.169	.116	-1.368	-1.096	-.242	-.058
4331	.752	0	0	0	1.147	0	-.352	.686	0	0	-.334	0	0		0	1.195	0	.35	0
4332	.08	-.016	-.4	-.368	.386	-.016	.336	-.441	4.932	-.281	.12	-.286	.368	-.286	-.459	.07	-.345	-.063	.261
4333	-1.053	-1.623	-1.096	-.466	-1.509	-1.016	-1.243	-.822	-.886	-1.527	-.985	-.642	-2.173	1.647	-1.385	-1.009	.09	-.995	-.778
4334	1.133	.405	1.099	1.251	.45	2.571	.94	1.254	.978	1.57	1.617	1.213	.447	-.168	.672	1.366	.855	1.067	.881
4335		0	-.411	.281	2.114	-.175	-.352	.458	0	.99	0	0	1.267	2.469	0	-.205	0	0	0
4336	.643	.215	.852	-.127	-.33	1.155	-.686	.538	.044	-.261	-.092	-.41	-.016	.288	-.152	-.107	-.087	-.185	.608
4337	.804	.29	-.771	-.617	-.344	-1.134	.48	.797	-.181	-.54	-.143	.16	-.822	.581	-.265	.041	-.227	1.001	-.197
4338	-.092	-.227	-.326	-.123	.152	.07	-.282	1.802	1.083	-.213	-.181	-.046	.085	-.437	-.217	-.067	-.087	-.264	.173
4339		-.33	-.114	-.396	-.302	.019	-.01	-2.151	.066	-.218	-.228	-.343	-2.405	-.099	-.196	-.125	-.297	-.107	.296
4340		0	0	.889	0	0	.17		0	0	0	0	0	1.224	0	1.195		0	.339
4341		0	0	.954	0	0	0		0	0	-.334	0	0	.469	0	-2.011	0	-.02	0
4342	.242	-.046	.122	.101	.22	.739	-.152	.262	.269	-.128	.012	.17	-.185	.161	-.146	.127	-.079	-.034	.096
4343	.511	-.028	.168	.043	.617	.013	.284	-.012	1.281	.19	.34	-.437	.039	-.063	.03	.266	.124	.332	
4344	-.756	-.104	-.33	-.315	-.138	-.703	-.751	-.811	-.455	-1.282	-.656	-.212	-.467	-1.35	1.138	-.504	-1.517	-.677	-.469
4345	.062	-.237	-.073	-.735	-.576	-.803	.71	-.636	.019	-.976	.249	.42	-.32	.064	.068	.335	-.568	.945	-.061
4346	-.08	-.219	.107	-.298	-.472	.335	-.406	.413	.372	-1.01	-4.172	-.287	.014	-1.146	-.063	.193	-.127	-.056	.127
4347	.381	.951	.594	.773	.894	1.412	1.365	.342	-.904	.549	1.074	1.539	-2.945	-.817	1.003	-.894	-.704	1.734	1.567
4348	.798	.135	.136	.13	.017	.102	.437	.506	1.563	-.017	-.684	-.306	.414	.127	.138	.596	.272	.413	.307
4349		0	.236	.263	1.534	0	1.425	-.074	0	1.321	0	0	.869	-.768	0	0	0	0	1.505
4350	.35	.055	.222	.2	.225	.298	.43	-.919	.591	.167	.549	.303	-.379	.337	.632	-.36	-.122	.203	.066
4351	-1.725	-1.436	-1.386	-1.322	-1.035	-1.865	-2.033	-2.102	-1.571	-2.557	-1.426	-.674	-2.165	-2.67	-1.46	2.275	-2.603	-2.21	-1.603
4352		-.618	0	1.431	-.059	0	0	1.071	0	1.473	0	0	0		1.421	-.875	-.846	0	0
4353	-1.322	-.344	-.169	-.14	-.497	-1.246	.072	-.417	.298	-.492	-.936	-.081	-.169	-.242	.041	-.792	-.507	-.421	
4354	.393	-.269	.083	.146	-.756	.17	-.374	-.941	-1.546	-.201	.141	.965	.439	-.94	.443	-1.135	-1.149	.652	-.343
4355	-.108	-.248	-.23	-.201	.057	-.072	.031	-.072	1.025	-.447	.232	-.189	.155	-.362	-.296	.188	-.068	.064	.149
4356	-.351	-.336	-.845	-.572	-.114	.244	-.354	-1.061	.241	-1.271	-.383	-.43	-.707	-1.477	-.449	1.496	-.343	-.953	.03
4357	-.295	-.1	-.123	-.144	-.233	-.445	-.11	-.259	.183	-.298	.031	-.119	.193	-.106	-.179	-.094	-.326	-.055	.065
4358	-.256	-.327	-.535	-.273	-.365	-.445	-.289	.031	-.182	-.609	-.209	-.443	-.077	.738	-.288	-.356	-.49	-.235	-.103
4359	-.593	-.218	.088	-.485	-.93	-.151	-.027	-.202	-.032	-.43	-.078	-.499	-.132	-.56	-.283	.769	-.35	.078	-.04
4360	-.376	-.109	-.069	-.341	-.302	-.216	-.187	-1.501	-.339	-.689	-.133	-.263	.161	-.214	-.188	-.203	-.231	.114	.118
4361	-.29	-.238	-.267	-.186	-.251	.064	-.301	-1.141	-.708	-.674	-.298	.142	-.539	-1.235	-.328	-.996	.398	.586	-.036
4362	.684	-.106	.125	.234	.177	.265	.351	.521	1.285	-.177	.418	-.02	.336	.218	.019	-.033	-.136	.346	-.027
4363	.845	.85	.61	1.02	.098	.127	.65	.72	.094	-.008	1.644	.304	.67	-.489	.55	1.358	-.765	-.007	-.633
4364	.629	.149	.047	-.426	.762	.417	3.098	-.419	.7	.241	0	1.498	-.344	.642	.317	-.217	-.322	-.105	-.418
4365	.004	0	1.129	.68	0	0	.671	-.287	0	0	0	1.136	0	-.768	-.936	0	.285	0	-2.073
4366	.51	.195	.169	.257	.246	-.218	.157	.325	1.405	-.35	.256	-.263	.407	-.2	.079	.24	.009	.068	.212
4367	-.11	.083	.361	.527	-.302	-.134	-.423	-.167	-.075	-.145	-.286	-.45	-.349	-.347	.009	.499	-.231	-.185	.381
4368	.739	.101	-.037	.058	.067	.185	.332	.715	1.033	.049	.198	-.111	1.226	.385	.21	.677	.095	.238	.242
4369	-.911	-.496	-.945	-.581	-.491	-.776	-.639	-.234	-1.234	-1.405	-.53	-.049	-1.335	-1.649	-.796	-1.059	-1.104	-.916	-.041
4370	-.082	-.065	-.181	.233	-.277	-.329	.544	.119	.094	-.3	-.349	-.46	0	-.021	-.106	.217	-.177	.013	.108
4371	1.193	1.06	.285	-.207	.186	-.757	.034	.427	2.083	-.374	.351	.306	.087	-.244	.357	.639	.738	.247	.358
4372		0	0	0	2.545	0	.155		0	0	0	-1.047	0		.245	.941	0	-.02	0
4373	-.574	-.003	.088	.118	-.433	.004	.053	-.613	-.311	-1.275	-.662	-.041	.31	-.35	.213	-.226	.355	.378	.214
4374	-.306	.78	-.133	-.213	.011	-.354	-.69	.353	.214	.056	-2.772	-.085	-.344	-.588	-.292	-.006	-.153	-.069	.208
4375	-.207	-.191	.017	-.172	-.298	-.474	.005	-.361	.214	-.411	-.242	-.495	-.288	-.079	.172	.278	-.33	-.172	-.029
4376		.899	.479	-2.231	0	0	-.575		0	0	-.286	1.594	0	.49	0	.64	0	.676	.96
4377	-.498	-.532	-.346	-.858	-.385	-.116	.067	.159	-.898	-2.607	-.241	-.984	-.802	-.856	-.397	-.489	-.054	.364	-.192
4378	2.428	.437	1.461	1.906	.822	3.622	1.116	1.525	.941	2.776	2.717	1.767	2.905	.381	1.629	2.027	2.858	1.915	.492
4379	.15	-.153	-.06	-.055	.137	.344	-.224	.183	.41	-.433	.123	-.151	.043	.823	-.25	-.535	-.338	.683	.268
4380	-.038	-.073	-.086	-.221	-.02	.144	.16	-.286	1.063	-.079	.106	-.35	-.067	.11	.048	-.084	.299	.11	.255
4381	-.126	.167	-.568	.365	.15	.063	.275	-.295	.443	.077	.117	-.085	-.115	-.538	-.553	-.312	-.048	.023	.135
4382	.105	-.061	.902	.355	.69	1.018	.545	.475	.275	.093	2.493	.044	.355	2.04	.616	.338	.242	.349	.204
4383	.242	.221	.18	.097	-.035	-.029	.083	.509	.094	.095	.233	-.095	.002	.014	.226	.279	-.146	.207	.284
4384	-.418	.512	-.481	-.819	.08	.742	.162	-.699	1.164	.391	-.194	-.543	.671	-.279	-.168	.599	.921	.45	.556
4385	.387	-.067	-.266	.11	.221	-.254	.034	.633	1.057	-.144	.015	-.16	.053	.17	-.243	.397	-.136	.146	-.066
4386	-.168	1.062	.167	1.771	.111	.505	1.319	-.243	-.909	.083		.49	-.033	.449	.602	.498	.289	.23	.05
4387	.617	.038	.064	.144	.186	.342	.38	.62	1.331	.142	.277	.025	.62	.89	.041	.545	.093	.213	.319
4388	-.15	.321	.257	-.408	-.115	.014	-.292	.135	.214	-.22	-.373	-.263	-.156	-.248	.009	-.189	-.101	-.003	.315
4389	2.017	0	-2.411	0	0	0	0		0	.584	0	0	0	.49	0	0	1.41	-.02	0
4390	-.016	-.454	-.208	-.102	-.374	-.613	-.249	-.306	.466	-.088	-.121	-.268	-.948	-.29	-.336	-.107	-.613	-.102	-.138
4391	-.364	.082	-.61	-.277	.196	-1.126	-.502	.08	-.024	-.493	-.146	-.062	-1.06	.242	-.27	-.841	-.484	.142	-.108
4392	-.016	-.302	-.114	.04	-.152	-.209	.149	-.036	-.406		-.018	-.347	-1.162	.232	-.054	-.357	-.222	-.168	-.369
4393	-.512	-.924	-.645	-.662	-.31	-.966	-.7	-.814	-.787	-1.034	-.409	-.234	-1.288	-.824	-.652	-1.164	-.441	-.909	-.559
4394	-1.203	-.348	-1.021	-.741	-1.257	-1.114	-.083	-.86	.096	-.248	.14	-1.005	-1.224	-.509	-.478	-.156	.03	-1.84	1.033
4395	-.021	-.263	-.016	-.132	-.478	.077	.572	.209	.628	-.492	-.408	-.156	-.009	-.441	-.196	-.372	-.252	.234	.296
4396	-.779	-.118	-.274	-.225	.36	-.724	.105	-.801	.042	-1.086	-.727	-.108	.072	-.784	-.549	-.373	-.429	.004	-.152
4397	-.475	-.252	-.223	.58	-.377	.09	.165	-.309	.077	-.178	.78	-.684	-.076	-.383	-1.171	-.755	.075	.369	.105
4398	.003	.182		.545	.142	1.053	-.065	-.333	.747	.13	.066	-.028	0	.225	.215	-.063	-.018	.408	.282
4399	-.159	-.492	-1.14	.182	-.524	-1.073	-.134	-.162	-.642	-.673	-.806	-.31	-.314	.393	-.802	-.193	-.3	-.866	-.063
4400	-.412	-1.321	.788	-.184	-1.21	.02	.667	-.281	-.716	-.643	.627	-.729	-.456	-.283	-.814	-1.139	-.839	.232	.03
4401	.543	.129	.293	.272	.126	.422	.283	.357	1.005	.121	.554	-.191	.355	.094	.049	-.01	.279	.307	
4402	-1.375	.029	.042	-.266	.325	.421	.197	-.834	.305	-.014	.088	-.325	.174	-.428	-.196	-.129	-.203	-.05	.136
4403	.626	-.034	.072	.084	.121	.118	.246	1.387	1.588	-.106	.469	-.234	.217	.23	.022	.049	.048	.248	.071
4404	.042	-.108	-.1	-.294	.001	-.212	.012	-.155	.818	-.348	-.026	-.124	.076	.057	-.143	-.066	.367	-.373	.225
4405	-.892	-1.415	-1.19	-1.25	-.799	-1.197	-1.311	-1.233	-.432	-1.206	-.644	-1.036	-1.037	-1.062	-1.36	-.967	-.977	-.792	-.658
4406		-.957	1.129	-2.394	0	-1.415	.575	.686	-.171	-.682	.436	0	.354	-1.51	0	.271	.285	0	0
4407	.356	.715	.142	.08	.358	-.089	.58	.295	2.269	.252	.236	-.114	.545	.17	.282	.798	1.134	.365	.505
4408	.794	.737	.446	.624	.413	.358	.517	.621	2.18	.129	.571	-.2	.531	.279	.475	1.229	.498	.117	.083
4409	-.376	.158	-.833	-.17	.396	-.274	-.019	.348	.277	-.327	.151	-.42	-.115	-.702	-.848	.131	-.127	-.107	.176
4410	-.338	-.176	-.278	-.198	1.246	.01	-.268	-.673	.113	-.021	.187	-.311	-.094	-.064	-.1	-.625	-.265	.263	.116
4411	.752	0	0	-3.937	1.037	0	.905	2.282	0	-1.416	.569	0	0		0	0	-.846	0	-1.814
4412	1.957	2.003	2.044	2.027	.6	3.071	.804	2.087	.712	1.535	2.528	.545	2.52	1.025	2.132	3.526	2.344	2.164	1.104
4413	.468	-.119	-.111	-.186	.069	.054	.115	.352	.761	.169	.13	-.448	.171	-.008	-.116	.22	-.049	.119	.154
4414	1.172	2.027	.998	2.301	.696	1.236	1.297	1.891	.599	.877	.754	.091	.895	.534	1.609	.769	.914	1.076	.333
4415	-1.844	-.6	-.466	-.928	-.504	.09	-.349	-1.206	-1.21	-.177	-.592	-.055	-1.766	-1.064	-1.331	-.686	-.754	-.16	-.863
4416	-.211	-.226	-.073	-.082	.154	-.45	-.724	.314	.334	.216	-.305	.158	-.436	-.286	-.345	.075	-.016	-.696	.013
4417	-.264	-.547	-.815	-.312	.24	-.868	-.561	.508	-1.541	-.726	-1.091	.056	-.628	.078	-.31	-.52	-1.431	-.845	-.093
4418	-.721	0	0	0	-.152	1.46	0	-1.542	.655	1.321	-.787	0	0	.469	1.421	0	0	0	0
4419	-.628	-.727	-.413	-.046	-.912	-.545	-1.004	-.891	-.717	.029	.263	-.344	-.701	.033	.159	-.194	-.957	.234	-.092
4420	1.109	-.204	-.429	.109	-.052	-.253	-.403	.649	.534	-.232	.266	-.1	.591	.166	-.516	.002	-.51	-.377	.206
4421	-.237	-.291	.027	.136	.118	.019	.035	-.252	.075	.185	.206	.082	.008	-.317	.017	-.209	.06	-.006	.27
4422	-.103	1.093	.449	-.363	.766	.824	1.326	-.463	.596	.943	.449	.268	.172	-.711	.742	1.692	.582	1.527	.038
4423	.068	.176	-.466	-.231	.631	-.518	.079	-.646	-.504	-.236	.416	-.18	-.453	-.648	-.046	-.148	-.741	.101	.261
4424	-1.996	0	-1.521	-.844	-.059	0	0	-1.158	0	0	1.161	1.594	.354	-.258	.245	0	0	-1.21	0
4425	-.246	-.403	1.074	1.073	-.174	2.353	1.802	1.406	-1.087	.817	1.627	.758	-.184	-.597	1.166	.179	.342	1.483	.471
4426		0	.479	0	-3.11	0	-.352	-.262	0	.059	0	-1.047	0		-.936	-.586	-.846	-2.02	0
4427	-.041	-.257	.023	.414	.136	.093	-.008	.19	.739	-.134	.524	.086	-.138	.269	-.158	-.375	1.266	.29	.249
4428	-1.549	-.832	-.811	-.429	-.948	-.495	-.807	-1.354	-1.675	-1.081	-.269	-.244	-.635	-.805	-.493	-1.025	-.773	-.303	-.125
4429	.544	-.12	.163	.184	.117	.415	.231	.094	.928	.059	.681	-.001	.25	.514	.088	.089	.269	.588	.433
4430	-.214	-.226	.183	.227	-.274	-.149	-.218	.333	.091	-2.812	.036	-.161	-.358	-.942	.118	.193	.062	.275	.286
4431	.417	-.13	-.119	-.348	.022	-.279	.039	-.092	.526	-.57	.102	-.237	.158	-.198	-.185		.254	-.07	.163
4432	.012	.054	-.046	.024	-.007	.172	-.334	-.368	-.994	-.707	.047	-.435	.417	.68	-.129	.174	.545	.113	.393
4433	1.141	.005	.631	.504	.095	.689	.064	-.397	-.749	.504	.267	.595	-1.065	1.769	1.945	1.593	-.595	.445	-.473
4434		-.957	-1.833	0	0	-.217	.225	1.266	0	0	-1.519	2.047	0		0	-2.011	-.846	0	.339
4435	1.726	.523	-.58	-.627	-.978	-.427	.666	.826	-.434	-.852	.049	-.354	.334	.93	.086	-.494	-.779	-.605	-.86
4436	-2.017	-.99	-.732	.37	-1.008	-.456	-1.11	-2.346	-2.128	-.564	-.46	-.414	-1.572	-1.534	-1.379	-1.391	-1.42	.085	-1.447
4437	.883	-1.114	-.048	.219	-.094	.182	-.227	-.772	-.104	-1.392	-.141	-.02	.234	-.58	.133	.015	-.508	-.055	.317
4438	.834	.138	-1.101	.171	.361	.632	-.825	-.162	1.109	-.492	-.047	-1.939	.212	-.538	-.058	-1.027	-.438	.275	.191
4439	.307	.198	.524	.058	-.499	-.137	.084	.883	.128	-.433	-.152	.226	.995	-.289	.286	.182	-.044	.411	-.618
4440	1.761	1.039	.586	.518	.671	.103	.75	1.357	-.009	-.175	.367	.549	2.042	.386	.884	.944	1.272	.384	.266
4441	1.762	-1.076	-.09	-.611	-.337	-1.409	-1.149	-.407	-.234	-1.394	-.268	.16	-1.309	-.868	2.243	-.708	-1.114	-.611	-.148
4442	-.095	-.284	-1.005	.054	.228	-.597	-.758	.539	-.24	-1.589	-.344		-.475	-.244	-.323	-.054	-.72	-.67	-.012
4443		2.057	0	-1.453	1.147	0	0	-1.927	2.023	0	0	.601	-.283		0	.64	0	0	-2.073
4444	-.41	.011	-.563	-.352	-.182	-.462	-.714	-.834	-.549	-.832	-.446	-.081	-.009	-.168	-.074	-.132	-.376	-.056	-.239
4445	.004	0	0	-.459	0	0	.575	.923	0	.243	.175	-.145	1.267		0	-.205	0	0	.96
4446	.124	.235	-.032	.194	-.008	.135	-.126	.147	.488	-.366	.573	-.211	.129	-.084	-.11	-.142	0	.226	.252
4447	-.534	-.426	.168	-.158	-.029	-.299	-.438	-.265	-.206	-.634	-.073	1.19	.999	-.899	-.576	-.671	-.751	-.329	-.949
4448	.631	.518	.381	.538	.625	.278	.155	1.116	1.182	-.343	.329	.296	.192	.108	.271	.396	.223	.319	.964
4449	.661	.051	-.555	-.553	-.39	-.78	-.721	.417	-1.021	-1.745	-.924	-.2	.049	.217	-.896	.469	-.952	-1.259	.958
4450	-1.187	.905	.129	.317	-.313	-.109	-.388	-.69	-1.469	-1.383	-.489	.435	-.653	-1.703	-.252	-.476	-1.03	-.46	-.79
4451	.188	-.549	-.169	-.109	-.104	-.329	.394	-.233	-1.439		.214	-.081	-.228	-.16	-.682	-.109	-.016	.321	.342
4452	-.177	-.759	-.296	-.834	.171	-.562	-.573	-.516	-.141	-1.177	-.144	-.027	-.508	-.241	-.557	-.658	-.737	-.537	.009
4453	.466	-.018	-.253	.398	-.075	.172	.122	.31	.456	-.173	.107	-.08	-.043	.126	-.077	.034	-.092	.035	.561
4454	-1.913	-1.745	-1.049	-2.031	-1.813	-2.39	-1.575	-2.944	-2.83	-2.479	-1.171	-1.651	-2.397	-2.246	-1.852	-1.846	-2.031	-1.425	-.644
4455	.051	-.201	.945	1.45	-.191	2.503	1.184	1.448	-.388	1.067	1.808	.231	-.757	.293	.421	.089	.748	1.569	.328
4456	1.299	.902	.155	-.258	.296	-.838	-.345	.505	1.883	-.603	.089	-.314	-.034	-.316	.039	.005	.535	-.061	-.009
4457	-.114	-.323	-.134	.244	-.134	.026	-.072	-.217	.173	-.004	.073		-.23	-.472	-.327	-.383	-.047	.137	.143
4458	.24	.011	-.234	-.383	-1.256	.412	-.469	-.892	-.738	-.4	-.058	-.563	-.453	-.685	-.045	-.058	-.212	.011	.269
4459	-.642	-.364	-.053	.175	-.497	.258	-.404	-1.62	-1.182	-.341	.156	-.033	-.914	-.627	-.386	-1.4	-.682	-.079	-.064
4460	.128	.253	.156	.033	-.175	.38	.101	.59	-.079	3.838	.234	-.234	-.025	.324	-.032	-.102	-.177	.145	.166
4461	.022	-.311	-.18	-.355	.242	-.214	-.068	.456	-.241	-.853	-.115	-.033	-.551	-.329	.205	.024	-.391	-.174	.198
4462	-.648	-.518	.197	.918	-.522	-.467	-.397	-.807	-.791	-.058	-.013	-.422	.013	.02	-.606	-.7	.062	-.429	-1.603
4463	.763	.346	-.691	-.547	-.074	-.257	-.527	-1.092	-.137	-1.312	-.578	.618	-.555	-.043	-.776	-.565	-.746	-.587	.698
4464	-.721	0	0	0	0	0	.575	.889	0	0	0	.685	-.374		0	0	0	.35	.268
4465	-.291	-.447	-.614	.019	.011	-.407	-.144	.314	-.082	-.11	.032	-.256	-.868	.006	-.397	-.173	-.413	.147	.602
4466	.493	.803	-.051	.55	.699	.015	.331	.225	.416	-.464	.053		-.024	.28	.401	.519	.205	.165	
4467	-.721	0	-1.521	0	0	1.064	1.999	.923	0	.276	-1.527	0	0	2.143	-1.755	0	0	0	-3.353
4468	1.725	1.819	1.018	1.612	1.537	2.788	2.28	2.551	2.796	1.813	2.479	1.632	2.868	1.762	1.12	3.343	2.35	1.298	2.034
4469	.185	-.238	-.128	.598	-.034	-.06	-.322	.09	.247	-.747	.524	-.23	.073	.21	-.309	-.126	-.254	.419	.558
4470	.112	-.061	-.885	.2	-.214	.419	.382	1.138	-1.146	-.374	.097	.294	.745	.207	.535	-.269	-.808	-.01	.397
4471	.926	-.099	.627	-.02	.459	.492	-.012	-.481	-.26	-.58		.324	.221	1.087	.396	.24	-1.196	.315	-1.911
4472	-.485	-.877	-.073	-.462	-.64	-.216	-.161	-.231	-.247	-.33	-1.914	-.337	.435	.033	-.345	-.392	-.179	.189	.626
4473	-3.94	-3.029	-2.571	-2.492	-2.547	-1.264	-2.446	2.071	-2.158	-3.307	-1.851	3.913	-2.102	-4.228	-2.143	-1.022	-2.74	-2.976	1.351
4474	-1.488	-.082	-.196	-.511	-.62	-1.055	-1.083	-1.269	-1.89	-.434	.155	-.805	-1.039	-.844	-.148	-.1	-.624	-.795	-1.236
4475	.598	1.155	.793	.426	.489	.906	.942	1.245	1.24	.56	1.21	-.027	.707	.757	.436	1.015	.068	.588	.364
4476	.274	-.019	.056	.342	.514	.629	.024	-.217	.662	.25	.907	.629	.489	-.123	-.229	-.358	-.372	.389	1.887
4477	.58	-.17	.199	.644	.16	.239	.063	.284	.021	-.068	.199	-.087	.204	.099	-.078	-.332	-.208	.293	.351
4478		0	0	-1.078	.343	0	0	-2.611	0	0	1.666	0	0	.469	.956	0	0	0	0
4479	.024	-.365	-.226	-.35	-1.286	-.019	-.581	-.231	-.994	-1.749	-.032	-.523	.161	-.309	-.534	-.28	0	.262	.418
4480	-1.425	-.441	.577	.704	-.856	.583	-1.074	-.51	-2.101	-.234	.551	.743	-1.54	-2.586	.644	.19	-1.041	-.968	-2.199
4481	-1.745	.808	.458	-.332	.558	-.265	.836	-1.262	1.172	-.05		.112	.979	-.583	.655	1.303	.963	.1	-.221
4482	-2.389	.732	.109	1.06	-2.319	-1.974	-1.192	.36	-1.763	-1.174	-.531	-2.005	-2.103	-2.749	-1.647	-1.54	-.323	.444	-2.639
4483	.283	1.303	-.356	-.229	2.101	-.289	-.201	.052	-.391	-.876	.105	-.022	-.853	.089	.187	.203	-.426	.123	.221
4484	-.214	.116	.205	.202	-1.01	.168	.281	.228	.416	.275	.516	.068	.028	.072	.227	.301	.029	.275	.386
4485	-1.579	-1.095	-.215	-.708	-1.421	-.974	-1.044	-.379	-2.314	-1.937	-.977	.263	-1.182	-1.849	-.439	-1.497	-1.636	-1.303	.157
4486	-.024	-.33	-.502	-.12	-1.027	.095	-.229	-.089	-1.643	-.839	-.098	.183	-.106	-.339	-.176	-.213	-.62	.336	.342
4487	.227	-.29	.245	.119	.517	.086	.285	.305	.909	.243	.847	-.214	-.037	-.114	-.295	-.222	-.253	.419	.319
4488	.468	.098	.059	.202	-1.063	.111	-.1	.226	.587	-.083	.441	.071	-.211	.259	-.146	-.447	-.255	.302	.102
4489	.032	-.431	-.319	-.37	-.182	-.491	-.875	-.922	-1.064	-1.432	-.606	.03	-.49	-.715	-.638	-.484	-.715		.148
4490	1.135	.648	1.991	1.189	.859	2.432	.976	1.73	1.421	1.573	2.044	1.408	1.097	1.719	3.634	1.247	1.133	.654	2.194
4491	.031	.054	-.499	.324	-.42	-.331	-.249	.771	-1.191	-1.087	.51	.092	-.14	.256	-.464	.042	-.587	-.631	.141
4492	.469	-.342	-.022	-.5	-1.338	-.256	-.197	-.142	.179	.119	.057	-.018	-.207	-.301	-.444	-.511	-.248	.027	.167
4493	-.307	-.342	-.048	.039	-1.256	-.739	-.423	-.295	-1.439	-1.33	-.163	-.819	-.778	-.44	-.059	-.452	-.575	-.692	.216
4494	.153	.496	-.163	.209	.121	.028	1.163	.579	.706	-.411	.821	1.238	.254	-.395	-.482	.017	-.068	1.165	-.048
4495	-.435	-.684	-.064	.149	-.402	.106	-.117	-.479	2.015	-.307	.178	-.337	-.256	.229	-.012	-.129	-.226	.139	.383
4496	-.679	-.366	.305	-.053	-.353	-.303	-.33	-.687	.49	-1.016	-.002	.042	-.824	-1.328	-.027	-.881	-.63	.034	-.224
4497	.306	.129	.105	.24	.04	.175	.36	.46	1.326	-.147	.594	-.263	.722	.271	.047	.347	.2	.445	.312
4498	-1.355	-.472	-.568	-1.403	-1.539	-.624	-.318	.74	2.712	-1.587	-.849	-2.07	.028	-.344	-.227	-.324	-.364	-.317	.18
4499	-1.141	-.759	.136	-1.149	-.688	-1.091	-.703	-.942	-.238	-.632	-.319	-.067	-1.547	-.873	-.805	-1.325	-2.022	-.415	-.855
