ID	Gene symbol
1	
2	
3	GBGT1
4	
5	STAMBP
6	
7	
8	PKN2
9	ZNF362
10	
11	MED13
12	
13	ACCN5
14	
15	C2orf28
16	
17	TSPAN19
18	
19	
20	
21	
22	
23	FADS1
24	
25	PAK1IP1
26	ST3GAL6
27	
28	
29	AMY1C
30	DRG1
31	RSPO3
32	
33	HIST1H2AH
34	
35	
36	CRYBA2
37	ZNF827
38	PGLYRP4
39	TNNI2
40	NMT2
41	WNT2
42	
43	CEBPB
44	RAC2
45	FANCL
46	MAP4K5
47	
48	CDK9
49	
50	MAX
51	ADAMTS3
52	ZNF189
53	
54	
55	RFXDC2
56	
57	
58	HPS1
59	MOGAT2
60	KRT1
61	HIST1H3E
62	DDX27
63	
64	MPZL1
65	OR6T1
66	AHSA1
67	
68	MEX3C
69	HEYL
70	
71	PTPRO
72	PLD5
73	
74	THOC3
75	ZNF702
76	NSUN2
77	
78	C9orf7
79	FAM104B
80	GNL2
81	CTSB
82	DLAT
83	RHOT2
84	
85	MAFG
86	MAGEA3
87	
88	
89	
90	HLA-B
91	
92	UTY
93	
94	DPCR1
95	LMO2
96	CDC40
97	SRGAP2
98	
99	FZD10
100	
101	
102	PFKP
103	PRELID2
104	QRSL1
105	
106	
107	
108	
109	IDH3G
110	
111	DOK5
112	
113	CCDC103
114	EFHC2
115	BARD1
116	CA9
117	WRN
118	
119	
120	RHPN2
121	
122	CEL
123	SCD5
124	GRM4
125	
126	
127	
128	SRP9
129	ETV1
130	GBP1
131	ACY1
132	
133	
134	AK5
135	C3orf38
136	
137	MYCN
138	
139	OR51I2
140	
141	SLC25A38
142	
143	PLEKHF2
144	LINS1
145	LEMD3
146	CTNNBIP1
147	
148	ZFP64
149	ATP1B4
150	AXL
151	IDE
152	CYP8B1
153	C9orf150
154	
155	HISPPD1
156	HSD17B4
157	ATXN2L
158	GTF2A2
159	UCHL5
160	
161	
162	C2orf49
163	ETV7
164	GABRB3
165	GSX2
166	IL1F9
167	PPP1R12B
168	
169	
170	FARSB
171	SFRS12
172	CD300LG
173	
174	EXOC7
175	
176	PEX6
177	SNCA
178	YIPF1
179	SUFU
180	CRYBA4
181	
182	
183	FOXE3
184	CNTN1
185	NGFRAP1
186	HERC1
187	
188	TNFRSF25
189	
190	SLC38A5
191	ZNF157
192	C20orf116
193	DIMT1L
194	CAMK2B
195	
196	
197	ZMAT5
198	UHMK1
199	NUS1
200	FLJ22659
201	
202	DYSF
203	
204	
205	LRRC36
206	EXT1
207	SOCS4
208	
209	XRCC1
210	
211	DNTTIP2
212	GPR110
213	
214	
215	
216	
217	
218	TBL1XR1
219	
220	LILRA5
221	
222	PCSK9
223	DIO3
224	GOSR1
225	
226	UPF3B
227	EID1
228	NCSTN
229	OR4K15
230	PTPN9
231	MAP4
232	PFDN4
233	
234	C14orf142
235	MAPKAPK5
236	ADCY2
237	
238	
239	COX6B2
240	NBEA
241	ISCA1
242	CNN1
243	NOC3L
244	
245	
246	MLLT1
247	MOG
248	FZD2
249	MRPL16
250	LIN28
251	NELL1
252	
253	F9
254	PRKACA
255	
256	
257	
258	
259	
260	MRPS18B
261	AUH
262	SLC22A17
263	ASB2
264	LOXL2
265	RPN1
266	CELSR3
267	ATP6V0D2
268	ZBTB2
269	NPY1R
270	TCEAL1
271	ITGAV
272	
273	IL26
274	THEM2
275	TRIB2
276	
277	APOC4
278	KITLG
279	NUP35
280	BTD
281	IL28RA
282	TFPI2
283	SETD3
284	INSL3
285	ZBTB11
286	
287	
288	S100A10
289	POP1
290	
291	
292	FLJ14100
293	P11
